,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
H3F3B,6.372169621684685,0.44855429972165534,0.18972183264892048,2.364273491663468,0.018065470697889788,0.8410538113717528
YBX1,6.8703888057553435,0.49397855749554925,0.20831553321659962,2.371299681152085,0.017725652329149525,0.8410538113717528
FAM120A,0.7040141514600584,1.4206936600320212,0.6012012569371241,2.3630916330246508,0.018123187878253018,0.8410538113717528
TPP1,3.112364313393286,0.630435469949696,0.2672654924180528,2.3588360182450265,0.018332354573842954,0.841612772613145
COX7A2,1.9564381185788533,0.8961709716603556,0.37968927182343204,2.360274672382907,0.018261408387096754,0.841612772613145
SRSF11,1.4044282162770017,1.107017746436988,0.47016198053783176,2.3545454380863347,0.01854537621969381,0.8438850571555181
ROCK1,1.646431836325097,1.0361283377221358,0.4401822686697926,2.3538620509482593,0.01857950471310896,0.8438850571555181
SNX3,5.068474908660262,0.49736728335899166,0.21211110217476611,2.3448432366788254,0.019035081003790554,0.8475228224302908
CCDC142,0.9297694536872725,1.1790245513873596,0.5035379552062702,2.341480993035335,0.01920740393014571,0.8475228224302908
AC099340.1,1.765424614264599,1.1453153608958295,0.4887821620532826,2.343202043389991,0.019119026434610657,0.8475228224302908
POGK,0.6913714721482243,1.6423557911161304,0.700823302916953,2.3434662978247855,0.019105488258562037,0.8475228224302908
NDUFA4,2.3388975484350887,0.7412051093690513,0.31685723974584806,2.339239936457105,0.019323019282374256,0.8475228224302908
NAPSB,1.863589708176634,0.9561179735803075,0.40865565473291826,2.339666568923877,0.01930096270547382,0.8475228224302908
